Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
12000,1.4198276,41.666666666666664,-0.9090206,-1.998828209085124,-1.998828209085124,0.57070166,0.013797042,0.00029999597,0.19999866,0.0009999867,1.0
24000,1.4203398,38.101639344262296,-1.682496,-2.0038195832882053,-2.0038195832882053,0.08937375,0.012232019,0.0002999894,0.19999646,0.000999965,1.0
36000,1.4194292,38.913907284768214,-1.6049693,-2.003887019680188,-2.003887019680188,0.049027756,0.012270018,0.00029998185,0.19999394,0.0009999401,1.0
48000,1.4181892,40.77430555555556,-1.6267107,-2.0040531042549343,-2.0040531042549343,0.04018404,0.0141221285,0.0002999746,0.19999151,0.0009999162,1.0
60000,1.416696,43.59778597785978,-1.5917884,-2.0043339412590675,-2.0043339412590675,0.04096896,0.016133929,0.00029996736,0.19998911,0.0009998922,1.0
72000,1.4150509,47.92307692307692,-1.5803515,-2.0047587016333455,-2.0047587016333455,0.032512125,0.021201374,0.0002999602,0.19998674,0.0009998687,1.0
84000,1.4111407,58.18840579710145,-1.5009167,-2.005573330642212,-2.005573330642212,0.041509654,0.017668016,0.00029995284,0.19998427,0.0009998443,1.0
96000,1.4057355,75.38194444444444,-1.4026672,-2.0074376740990436,-2.0074376740990436,0.051032692,0.017389363,0.00029994597,0.19998197,0.0009998216,1.0
108000,1.401226,105.75,-1.2443115,-2.0103969245540854,-2.0103969245540854,0.062152155,0.019671753,0.00029993884,0.19997962,0.0009997982,1.0
120000,1.396612,145.81034482758622,-1.0401757,-2.013237276193449,-2.013237276193449,0.07099366,0.014401289,0.00029993142,0.19997713,0.0009997736,1.0
132000,1.3927171,185.95454545454547,-0.65750736,-2.018679986397425,-2.018679986397425,0.06907069,0.019372733,0.00029992423,0.1999747,0.0009997499,1.0
144000,1.39037,279.8181818181818,-0.3225684,-1.692488845023844,-1.692488845023844,0.040555235,0.011749174,0.0002999169,0.19997229,0.0009997258,1.0
156000,1.3872195,327.3636363636364,-0.12820768,-0.8796538326602715,-0.8796538326602715,0.020881912,0.019313293,0.00029991,0.19997,0.0009997031,1.0
168000,1.3845844,488.1333333333333,-0.068874195,-0.4673833151658376,-0.4673833151658376,0.017320791,0.016782496,0.00029990257,0.19996752,0.0009996786,1.0
180000,1.382957,510.45454545454544,-0.06767124,-0.6738833369066318,-0.6738833369066318,0.010576953,0.02238021,0.00029989527,0.19996507,0.0009996543,1.0
192000,1.3818961,659.2,-0.06520352,-0.14551664888858795,-0.14551664888858795,0.010371734,0.013946246,0.00029988834,0.19996278,0.0009996315,1.0
204000,1.3806094,710.6666666666666,-0.04764639,-0.2880999901228481,-0.2880999901228481,0.011378764,0.023857927,0.00029988142,0.19996047,0.0009996087,1.0
216000,1.3794799,664.0,-0.03945929,-0.21089998739106314,-0.21089998739106314,0.011843953,0.014159146,0.00029987446,0.19995813,0.0009995857,1.0
228000,1.3786421,840.8571428571429,-0.03486975,-0.25033330793182057,-0.25033330793182057,0.02622036,0.020299021,0.00029986684,0.19995561,0.0009995607,1.0
240000,1.378152,1120.2307692307693,-0.00027810322,1.2495285953794206,1.2495285953794206,0.07610695,0.022442803,0.00029985933,0.1999531,0.0009995359,1.0
252000,1.3785057,1211.4,0.046990797,1.16039998912149,1.16039998912149,0.068617366,0.0125563415,0.00029985243,0.19995081,0.000999513,1.0
264000,1.3792855,1350.857142857143,0.10580929,1.5776714634682452,1.5776714634682452,0.08524009,0.01331951,0.00029984507,0.19994836,0.0009994888,1.0
276000,1.3800025,1406.1333333333334,0.12241653,1.2858500134732043,1.2858500134732043,0.094756074,0.015691137,0.00029983764,0.19994588,0.0009994643,1.0
288000,1.3804663,1344.75,0.18288785,1.8676200032234191,1.8676200032234191,0.06003176,0.015655736,0.00029983092,0.19994365,0.0009994421,1.0
300000,1.3804023,1208.4705882352941,0.15473792,1.656800030834145,1.656800030834145,0.10228199,0.02109443,0.0002998235,0.19994117,0.0009994174,1.0
312000,1.3806443,1005.6315789473684,0.1815366,1.428423565100221,1.428423565100221,0.101828225,0.015704436,0.00029981625,0.19993876,0.0009993935,1.0
324000,1.3808228,887.9285714285714,0.16857544,1.24509170340995,1.24509170340995,0.06936771,0.019173713,0.0002998094,0.19993646,0.0009993712,1.0
336000,1.3811823,897.7333333333333,0.18063548,1.909511131958829,1.909511131958829,0.10043592,0.014818405,0.0002998021,0.19993404,0.000999347,1.0
348000,1.3822747,839.6470588235294,0.26460597,1.9148000120185316,1.9148000120185316,0.09193563,0.020949716,0.0002997947,0.19993156,0.0009993224,1.0
360000,1.3831172,673.9166666666666,0.19413748,1.0384722513457139,1.0384722513457139,0.13097714,0.01303793,0.00029978782,0.19992925,0.0009992999,1.0
372000,1.3827614,666.75,0.17550004,0.9847571817891938,0.9847571817891938,0.121087015,0.013783915,0.00029978063,0.19992688,0.0009992761,1.0
384000,1.3832848,689.9166666666666,0.22765155,1.6229653974565177,1.6229653974565177,0.1436408,0.01672119,0.00029977292,0.1999243,0.0009992507,1.0
396000,1.3840111,602.0952380952381,0.21690424,1.176538107295831,1.176538107295831,0.12436205,0.01930503,0.00029976584,0.19992197,0.0009992273,1.0
408000,1.3853025,489.46153846153845,0.12065331,0.2866333456089099,0.2866333456089099,0.15171373,0.016111469,0.0002997588,0.19991961,0.0009992041,1.0
420000,1.3851368,566.8235294117648,0.123657,1.053672234631247,1.053672234631247,0.09475271,0.018635223,0.0002997517,0.19991721,0.0009991806,1.0
432000,1.3844924,626.5238095238095,0.16244005,1.5739091143689372,1.5739091143689372,0.10700833,0.017190605,0.0002997445,0.19991483,0.0009991567,1.0
444000,1.3840175,653.4285714285714,0.25032163,1.9349600099027158,1.9349600099027158,0.071484506,0.011822163,0.00029973735,0.19991244,0.0009991332,1.0
456000,1.3835111,578.1818181818181,0.25271767,1.0329682058231398,1.0329682058231398,0.11893461,0.017994145,0.00029973002,0.19991,0.0009991091,1.0
468000,1.3831993,615.8421052631579,0.2479569,1.5575714373872394,1.5575714373872394,0.12880467,0.015875729,0.00029972277,0.19990759,0.0009990851,1.0
480000,1.3832178,541.6,0.24513142,1.213527286933227,1.213527286933227,0.11622285,0.017804598,0.00029971558,0.1999052,0.0009990615,1.0
492000,1.3824961,610.08,0.21860102,1.3500444671070133,1.3500444671070133,0.14997192,0.010763121,0.0002997086,0.19990288,0.0009990385,1.0
