Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189384,0.0029999996,-0.9081818174570799,57.32727272727273,0.051317625,-0.9074390087867292
20000,1.4143393,0.0029999989,-0.8664743583052396,60.6474358974359,-0.017032355,-0.8675159084236925
30000,1.4110695,0.0029999989,-0.706788320379862,69.94890510948905,-0.15578343,-0.7044117518098039
40000,1.4145507,0.0029999982,-0.605922329031582,85.8252427184466,-0.25345632,-0.6099999875295907
50000,1.4087278,0.002999997,-0.6187499987427145,97.7159090909091,-0.27045855,-0.6187499903184785
60000,1.4003279,0.0029999965,-0.19521738969437455,141.71014492753622,-0.2654547,-0.1902941115310087
70000,1.3971343,0.0029999963,-0.15090908872132952,146.96969696969697,-0.22597508,-0.15656715025430296
80000,1.3958106,0.0029999956,-0.23775861865102216,141.17241379310346,-0.1964034,-0.23775860644748498
90000,1.3909233,0.0029999951,0.34740000408142807,201.22,-0.1532192,0.3304081853022989
100000,1.378993,0.0029999944,0.42617021536731975,187.95744680851064,-0.08181826,0.4418750178689758
110000,1.3701669,0.0029999937,0.23433962583823023,185.20754716981133,-0.028685633,0.23433964520271094
120000,1.362298,0.0029999933,0.4141666720000406,230.44444444444446,0.012352469,0.4141667024749849
130000,1.3551767,0.0029999928,0.12058823983020642,193.58823529411765,-0.005633338,0.12058826952296145
140000,1.3511958,0.0029999916,0.11480770242185546,234.07692307692307,-0.031155054,0.11480774379406984
150000,1.3412889,0.0029999912,0.5028571527717369,275.92857142857144,-0.010818152,0.502857203196202
160000,1.3302847,0.0029999912,0.18346155585291293,321.11538461538464,-0.048026737,0.1834616417495104
170000,1.3222378,0.0029999902,0.6143478385942138,310.0869565217391,-0.05194404,0.6143478871849568
180000,1.3178145,0.0029999895,0.2543333649014433,421.56666666666666,-0.009695906,0.2543334875255823
190000,1.3140397,0.0029999893,0.34280001781880853,296.32,0.02304123,0.34280008897185327
200000,1.310713,0.0029999882,-0.14633331553389628,248.6,0.0022976343,-0.1463332428286473
210000,1.3102766,0.0029999877,0.11047624495057833,591.4285714285714,-0.011543303,0.11047644824499175
220000,1.307096,0.0029999872,0.3361764923285912,318.2647058823529,0.017737845,0.3361765882548164
230000,1.3047311,0.0029999865,-0.11529408680165515,384.88235294117646,-0.0061747604,-0.11529398523271084
240000,1.3056283,0.0029999858,0.5384615719891511,443.2307692307692,-0.12780371,0.5384617331795968
250000,1.2993971,0.0029999858,0.2058333920625349,550.3333333333334,-0.11707152,0.20583360952635607
260000,1.2930001,0.0029999851,0.4148000349849463,397.16,0.033201523,0.4148001718521118
